Component,Quantity,Approx Cost (INR),Purchase Link
Laser Module 5V,1,50,https://robu.in/product/650nm-5v-laser-module/
LDR (Light Dependent Resistor),1,10,https://robu.in/product/ldr-photoresistor-pack-of-10/
Active Buzzer,1,30,https://robu.in/product/5v-active-buzzer-module/
5mm LED,1,5,https://robu.in/product/5mm-red-led-pack-of-10/
220 Ohm Resistor,1,2,https://robu.in/product/220-ohm-1-4w-carbon-film-resistor-pack-of-100/
10k Ohm Resistor,1,2,https://robu.in/product/10k-ohm-1-4w-carbon-film-resistor-pack-of-100/
BC547 NPN Transistor,1,10,https://robu.in/product/bc547-npn-transistor-pack-of-10/
Mini Breadboard,1,80,https://robu.in/product/400-point-mini-breadboard/
Jumper Wires (Male-to-Male),1 Set,40,https://robu.in/product/40-pin-male-to-male-jumper-wire/
9V Battery,1,40,https://robu.in/product/9v-heavy-duty-battery/
9V Battery Clip,1,20,https://robu.in/product/9v-battery-connector-clip/
